day,issues,resolutions,resolution_ratio
2026-02-02,102,51,0.5
2026-02-03,351,278,0.792
2026-02-04,489,483,0.9877
2026-02-05,596,296,0.4966
2026-02-06,885,987,1.1153
2026-02-07,352,174,0.4943
2026-02-08,308,118,0.3831
2026-02-09,32,14,0.4375
2026-02-10,286,115,0.4021
2026-02-11,154,106,0.6883
2026-02-12,116,54,0.4655
2026-02-14,129,162,1.2558
2026-02-15,483,489,1.0124
2026-02-16,784,815,1.0395
2026-02-17,215,227,1.0558
2026-02-18,438,288,0.6575
2026-02-19,623,461,0.74
2026-02-20,606,646,1.066
2026-02-21,619,554,0.895
2026-02-22,593,535,0.9022
2026-02-23,785,460,0.586
2026-02-24,346,402,1.1618
2026-02-25,437,344,0.7872
2026-02-26,425,423,0.9953
2026-02-27,278,215,0.7734
2026-02-28,461,352,0.7636
2026-03-01,1087,836,0.7691
2026-03-02,1140,955,0.8377
2026-03-03,695,526,0.7568
2026-03-04,179,162,0.905
2026-03-05,4,15,3.75
