day,cluster_key,cluster,issue_hits,resolution_hits
2026-02-02,daytona_bootstrap,Daytona bootstrap/auth,0,0
2026-02-02,docker_build,Docker build/runtime,29,18
2026-02-02,verifier_oracle,Verifier/oracle quality,8,2
2026-02-02,retrieval_mcp,MCP/retrieval path,32,21
2026-02-02,run_orchestration,Run orchestration,33,10
2026-02-03,daytona_bootstrap,Daytona bootstrap/auth,40,36
2026-02-03,docker_build,Docker build/runtime,43,61
2026-02-03,verifier_oracle,Verifier/oracle quality,54,45
2026-02-03,retrieval_mcp,MCP/retrieval path,120,79
2026-02-03,run_orchestration,Run orchestration,94,57
2026-02-04,daytona_bootstrap,Daytona bootstrap/auth,51,35
2026-02-04,docker_build,Docker build/runtime,70,77
2026-02-04,verifier_oracle,Verifier/oracle quality,141,152
2026-02-04,retrieval_mcp,MCP/retrieval path,124,126
2026-02-04,run_orchestration,Run orchestration,103,93
2026-02-05,daytona_bootstrap,Daytona bootstrap/auth,89,32
2026-02-05,docker_build,Docker build/runtime,90,59
2026-02-05,verifier_oracle,Verifier/oracle quality,136,70
2026-02-05,retrieval_mcp,MCP/retrieval path,141,62
2026-02-05,run_orchestration,Run orchestration,140,73
2026-02-06,daytona_bootstrap,Daytona bootstrap/auth,61,55
2026-02-06,docker_build,Docker build/runtime,157,210
2026-02-06,verifier_oracle,Verifier/oracle quality,235,242
2026-02-06,retrieval_mcp,MCP/retrieval path,230,276
2026-02-06,run_orchestration,Run orchestration,202,204
2026-02-07,daytona_bootstrap,Daytona bootstrap/auth,54,15
2026-02-07,docker_build,Docker build/runtime,42,21
2026-02-07,verifier_oracle,Verifier/oracle quality,42,33
2026-02-07,retrieval_mcp,MCP/retrieval path,119,68
2026-02-07,run_orchestration,Run orchestration,95,37
2026-02-08,daytona_bootstrap,Daytona bootstrap/auth,49,23
2026-02-08,docker_build,Docker build/runtime,43,21
2026-02-08,verifier_oracle,Verifier/oracle quality,19,11
2026-02-08,retrieval_mcp,MCP/retrieval path,68,21
2026-02-08,run_orchestration,Run orchestration,129,42
2026-02-09,daytona_bootstrap,Daytona bootstrap/auth,4,3
2026-02-09,docker_build,Docker build/runtime,4,3
2026-02-09,verifier_oracle,Verifier/oracle quality,3,0
2026-02-09,retrieval_mcp,MCP/retrieval path,11,5
2026-02-09,run_orchestration,Run orchestration,10,3
2026-02-10,daytona_bootstrap,Daytona bootstrap/auth,19,9
2026-02-10,docker_build,Docker build/runtime,51,23
2026-02-10,verifier_oracle,Verifier/oracle quality,37,12
2026-02-10,retrieval_mcp,MCP/retrieval path,77,36
2026-02-10,run_orchestration,Run orchestration,102,35
2026-02-11,daytona_bootstrap,Daytona bootstrap/auth,12,4
