agent,session_id,error_count,tool_calls,msg_count,retry_mentions,started_at,last_at
external_transcript_memory,tm:713d7128-4a28-47b0-ab6c-ca61fcd3c9f8,44,458,3954,9,2026-02-01T19:42:20.117Z,2026-02-01T19:53:42.158Z
claude,1966287e-f2f6-4137-83e2-099f15c072ff,38,213,2533,5,2026-02-06T02:05:30.548Z,2026-02-06T13:05:42.832Z
claude,261b6e70-8c09-4d84-acd7-bb8d99e229db,37,399,14327,82,2026-02-07T19:53:20.561Z,2026-02-08T02:55:17.513Z
claude,0f903e90-f576-4c47-b714-4b33d0833cac,35,620,8230,45,2026-02-22T12:40:25.699Z,2026-02-22T22:40:46.107Z
claude,9f56fc26-06b3-4bd3-a1ae-d37e6bb2a884,32,566,4727,46,2026-02-16T20:19:21.036Z,2026-02-17T02:02:19.172Z
claude,ba3979ff-792e-4d3a-a45a-adb73482726d,30,305,6985,56,2026-02-08T12:46:37.038Z,2026-02-08T18:42:26.207Z
claude,22c54306-e3d8-4486-8ddc-ad5c88d7a989,28,737,6719,40,2026-02-26T14:57:38.537Z,2026-02-26T23:30:49.702Z
claude,ae74bf9c-54e3-4116-bfe0-e750e45115f2,27,483,12133,69,2026-02-23T03:18:20.759Z,2026-02-23T18:41:01.153Z
claude,485bd2a3-2d85-4ef1-a627-6d21348924c8,26,384,3838,38,2026-02-06T21:48:21.182Z,2026-02-07T02:39:26.689Z
claude,9faa13a9-dc5e-4397-92f1-7852cc8ab128,26,471,9362,22,2026-02-20T18:40:02.427Z,2026-02-20T22:58:29.384Z
claude,37b7daa4-4015-4475-a0a7-4c905ea090e4,26,101,3174,2,2026-03-02T19:52:38.295Z,2026-03-02T21:17:26.868Z
external_transcript_memory,tm:e889d1ab-debd-4dde-8eac-eddd1c049e3c,26,140,655,0,2026-02-01T23:39:03.643Z,2026-02-02T00:16:59.556Z
claude,9b754ef0-c4a9-4334-9eef-044ef9bc0051,25,589,19233,58,2026-02-21T01:32:38.384Z,2026-02-22T13:39:31.750Z
