subset,suite,task_id,variant,recommended_status,flag_reasons,rationale
csb_org,csb_org_compliance,ccx-compliance-118,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_compliance,ccx-compliance-182,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_compliance,ccx-compliance-190,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-061,baseline,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_crossorg,ccx-crossorg-061,mcp,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_crossorg,ccx-crossorg-066,baseline,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_crossorg,ccx-crossorg-066,mcp,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_crossorg,ccx-crossorg-208,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-208,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-209,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-209,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-211,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-211,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossorg,ccx-crossorg-214,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-config-trace-010,baseline,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_crossrepo_tracing,ccx-config-trace-010,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-001,baseline,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-001,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-004,baseline,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-004,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-133,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-172,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-172,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-174,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-175,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-175,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-178,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-179,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_crossrepo_tracing,ccx-dep-trace-179,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_domain,ccx-domain-120,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_domain,ccx-domain-155,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_domain,ccx-domain-155,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_incident,ccx-incident-031,baseline,unusable,score_anomaly:empty_oracle;v2:all_zero,empty_oracle_vacuous_scoring_risk;all_zero_reward_pattern
csb_org,csb_org_incident,ccx-incident-031,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
